"taxon","q_(Intercept)","q_RFIClass2MidRFI","q_RFIClass3HighRFI"
"12DICHLORETHDEG-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"14DICHLORBENZDEG-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"1CMET2-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"ALLANTOINDEG-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"ANAEROFRUCAT-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"ANAGLYCOLYSIS-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"ARG???SYN",0.999947418018215,0.997305600121964,0.996691057705546
"ARGININE-SYN4-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"ARGSYN-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"ARGSYNBSUB-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"ARO-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"ASPASN-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"AST-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"BRANCHED-CHAIN-AA-SYN-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"CALVIN-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"CARNMET-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"CATECHOL-ORTHO-CLEAVAGE-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"CHLOROPHYLL-SYN",0.999947418018215,0.997305600121964,0.996691057705546
"CITRULBIO-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"COA-PWY",0.999947418018215,0.997305600121964,0.998782852086678
"COA-PWY-1",0.999947418018215,0.997305600121964,0.996691057705546
"COBALSYN-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"CODH-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"COLANSYN-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"COMPLETE-ARO-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"CRNFORCAT-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"DAPLYSINESYN-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"DARABCATK12-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"DENITRIFICATION-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"DENOVOPURINE2-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"DTDPRHAMSYN-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"ECASYN-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"FAO-PWY",0.999947418018215,0.997305600121964,0.996691057705546
"FERMENTATION-PWY",0.999947418018215,0.997305600121964,0.996691057705546
