"taxon","q_(Intercept)","q_RFIClass2MidRFI","q_RFIClass3HighRFI"
"Absconditicoccaceae",0.968682111838657,0.988329030448414,0.968634091766063
"Acetobacteraceae",0.968682111838657,0.988329030448414,0.968634091766063
"Acidaminococcaceae",0.968682111838657,0.988329030448414,0.968634091766063
"Acutalibacteraceae",0.968682111838657,0.988329030448414,0.968634091766063
"Anaerolineaceae",0.968682111838657,0.988329030448414,0.968634091766063
"Anaeroplasmataceae",0.968682111838657,0.988329030448414,0.980601870514015
"Anaerovoracaceae",0.97800010349945,0.988329030448414,0.968634091766063
"Aristaeellaceae",0.968682111838657,0.988329030448414,0.968634091766063
"Atopobiaceae",0.968682111838657,0.988329030448414,0.968634091766063
"Bacillaceae_H_294103",0.968682111838657,0.990041962583325,0.968634091766063
"Bacteroidaceae",0.968682111838657,0.988329030448414,0.968634091766063
"BICA1-8",0.968682111838657,0.988329030448414,0.968634091766063
"Bifidobacteriaceae",0.289507980446583,0.453940226481316,0.968634091766063
"Bin106",0.968682111838657,0.988329030448414,0.968634091766063
"Borkfalkiaceae",0.968682111838657,0.988329030448414,0.968634091766063
"CAG-1252",0.968682111838657,0.988329030448414,0.968634091766063
"CAG-138",0.968682111838657,0.988329030448414,0.968634091766063
"CAG-239",0.968682111838657,0.988329030448414,0.968634091766063
"CAG-272",0.968682111838657,0.988329030448414,0.968634091766063
"CAG-274",0.968682111838657,0.988329030448414,0.968634091766063
"CAG-314",0.968682111838657,0.988329030448414,0.968634091766063
"CAG-382",0.968682111838657,0.988329030448414,0.968634091766063
"CAG-508",0.968682111838657,0.988329030448414,0.968634091766063
"CAG-826",0.968682111838657,0.988329030448414,0.968634091766063
"Campylobacteraceae",0.968682111838657,0.988329030448414,0.968634091766063
"Christensenellaceae",0.968682111838657,0.988329030448414,0.985536075087419
"Desulfobulbaceae",0.968682111838657,0.988329030448414,0.968634091766063
"Desulfovibrionaceae",0.968682111838657,0.988329030448414,0.968634091766063
"Dethiosulfovibrionaceae",0.968682111838657,0.988329030448414,0.968634091766063
"Elusimicrobiaceae",0.968682111838657,0.988329030448414,0.968634091766063
"Endomicrobiaceae",0.968682111838657,0.988329030448414,0.968634091766063
"Erysipelotrichaceae",0.998968821157395,0.988329030448414,0.968634091766063
"F082",0.968682111838657,0.988329030448414,0.968634091766063
"Fibrobacteraceae",0.968682111838657,0.988329030448414,0.968634091766063
"Flavobacteriaceae",0.968682111838657,0.988329030448414,0.985536075087419
"Gastranaerophilaceae",0.968682111838657,0.988329030448414,0.968634091766063
"Lachnospiraceae",0.968682111838657,0.988329030448414,0.968634091766063
"Lactobacillaceae",0.968682111838657,0.988329030448414,0.968634091766063
"Methanobacteriaceae",0.968682111838657,0.988329030448414,0.968634091766063
"Mitochondria",0.968682111838657,0.988329030448414,0.968634091766063
"ML635J-15",0.968682111838657,0.988329030448414,0.968634091766063
"Muribaculaceae",0.968682111838657,0.988329030448414,0.968634091766063
"Mycoplasmoidaceae",0.97800010349945,0.988329030448414,0.968634091766063
"Nanosyncoccaceae",0.968682111838657,0.988329030448414,0.968634091766063
"Oscillospiraceae_88309",0.968682111838657,0.988329030448414,0.968634091766063
"P3",0.968682111838657,0.988329030448414,0.968634091766063
"Paludibacteraceae",0.968682111838657,0.988329030448414,0.968634091766063
"Ruminococcaceae",0.968682111838657,0.988329030448414,0.968634091766063
"Saccharofermentanaceae",0.968682111838657,0.988329030448414,0.968634091766063
